Time,APM1 CPU,APM1 Memory,APM2 CPU,APM2 Memory,APM3 CPU,APM3 Memory,APM4 CPU,APM4 Memory,APM5 CPU,APM5 Memory,APM6 CPU,APM6 Memory
0,0.0,0.0,0.0,0.0,13.0,0.0,20.0,0.0,12.5,4.6,0.0,0.0
5,0.0,0.0,0.0,0.0,21.8,0.0,3.2,0.0,20.6,4.6,0.0,0.0
10,0.0,0.0,0.0,0.0,26.9,0.0,1.7,0.0,26.0,4.6,0.0,0.1
15,0.0,0.0,0.0,0.0,29.9,0.0,1.1,0.0,30.4,4.6,0.0,0.1
20,0.0,0.0,0.0,0.0,32.4,0.0,0.9,0.0,32.8,4.6,0.0,0.2
25,0.0,0.0,0.0,0.0,34.1,0.0,0.7,0.0,33.5,4.6,0.0,0.2
30,0.0,0.0,0.0,0.0,34.4,0.0,0.6,0.0,34.7,4.6,0.0,0.2 
35,0.0,0.0,0.0,0.0,35.6,0.0,0.5,0.0,34.8,0.0,0.0,0.2
40,0.0,0.0,0.0,0.0,40.3,0.0,0.4,0.0,30.9,0.0,0.0,0.2
45,0.0,0.0,0.0,0.0,44.0,0.0,0.4,0.0,27.7,0.0,0.0,0.3
50,0.0,0.0,0.0,0.0,46.9,0.0,0.5,0.0,25.2,0.0,0.0,0.3
55,0.0,0.0,0.0,0.0,49.2,0.0,0.7,0.0,23.0,0.0,0.0,0.4
60,0.0,0.0,0.0,0.0,50.4,0.0,0.8,0.0,21.2,0.0,0.0,0.4
65,0.0,0.0,0.0,0.0,46.8,0.0,0.9,0.0,19.7,0.0,0.0,0.4
70,0.0,0.0,0.0,0.0,44.1,0.0,1.1,0.0,18.6,0.0,0.0,0.4
75,0.0,0.0,0.0,0.0,41.3,0.0,1.2,0.0,17.4,0.0,0.0,0.4
80,0.0,0.0,0.0,0.0,39.2,0.0,1.3,0.0,16.5,0.0,0.0,0.5
85,0.0,0.0,0.0,0.0,37.0,0.0,1.4,0.0,15.6,0.0,0.0,0.5
90,0.0,0.0,0.0,0.0,35.3,0.0,1.5,0.0,14.9,0.0,0.0,0.6
95,0.0,0.0,0.0,0.0,33.4,0.0,1.6,0.0,14.1,0.0,0.0,0.6
100,0.0,0.0,0.0,0.0,33.5,0.0,1.6,0.0,13.4,0.0,0.0,0.6
105,0.0,0.0,0.0,0.0,35.4,0.0,1.6,0.0,12.8,0.0,0.0,0.6
110,0.0,0.0,0.0,0.0,36.6,0.0,1.7,0.0,12.5,3.2,0.0,0.7
115,0.0,0.0,0.0,0.0,36.7,0.0,1.7,0.0,13.6,3.2,0.0,0.7
120,0.0,0.0,0.0,0.0,36.6,0.0,1.8,0.0,14.7,3.2,0.0,0.7
125,0.0,0.0,0.0,0.0,36.6,0.0,1.8,0.0,15.4,3.2,0.0,0.7
130,0.0,0.0,0.0,0.0,36.5,0.0,1.9,0.0,16.4,3.2,0.0,0.8
135,0.0,0.0,0.0,0.0,36.9,0.0,1.9,0.0,16.8,0.0,0.0,0.8
140,0.0,0.0,0.0,0.0,38.2,0.0,1.9,0.0,16.2,0.0,0.0,0.9
145,0.0,0.0,0.0,0.0,39.4,0.0,1.9,0.0,15.7,0.0,0.0,0.9
150,0.0,0.0,0.0,0.0,40.6,0.0,2.0,0.0,15.2,0.0,0.0,0.9
155,0.0,0.0,0.0,0.0,41.6,0.0,2.0,0.0,14.8,0.0,0.0,0.9
160,0.0,0.0,0.0,0.0,40.3,0.0,2.0,0.0,14.3,0.0,0.0,1.0
165,0.0,0.0,0.0,0.0,39.3,0.0,2.0,0.0,13.9,0.0,0.0,1.0
170,0.0,0.0,0.0,0.0,38.1,0.0,2.1,0.0,13.6,0.0,0.0,1.1
175,0.0,0.0,0.0,0.0,37.2,0.0,2.1,0.0,13.2,0.0,0.0,1.1
180,0.0,0.0,0.0,0.0,36.2,0.0,2.1,0.0,12.9,0.0,0.0,1.1
185,0.0,0.0,0.0,0.0,35.4,0.0,2.1,0.0,12.5,0.0,0.0,1.1
190,0.0,0.0,0.0,0.0,36.2,0.0,2.1,0.0,12.2,0.0,0.0,1.2
195,0.0,0.0,0.0,0.0,36.2,0.0,2.1,0.0,12.8,3.4,0.0,1.2
200,0.0,0.0,0.0,0.0,36.3,0.0,2.2,0.0,13.5,3.4,0.0,1.2
205,0.0,0.0,0.0,0.0,36.3,0.0,2.2,0.0,14.1,3.4,0.0,1.2
210,0.0,0.0,0.0,0.0,36.4,0.0,2.2,0.0,14.7,3.4,0.0,1.2
215,0.0,0.0,0.0,0.0,36.3,0.0,2.2,0.0,15.3,3.4,0.0,1.3
220,0.0,0.0,0.0,0.0,36.4,0.0,2.2,0.0,15.8,3.4,0.0,1.3
225,0.0,0.0,0.0,0.0,36.5,0.0,2.2,0.0,16.2,0.0,0.0,1.3
230,0.0,0.0,0.0,0.0,37.3,0.0,2.2,0.0,15.9,0.0,0.0,1.4
235,0.0,0.0,0.0,0.0,38.1,0.0,2.2,0.0,15.5,0.0,0.0,1.4
240,0.0,0.0,0.0,0.0,38.7,0.0,2.2,0.0,15.2,0.0,0.0,1.4
