Time,RX Data Rate,TX Data Rate,Disk Writes,Space_Available
0,0,0,13581495,16728608
1,9,1K,13591567,29819616
2,658,1K,13591575,29807248
3,635,1K,13591583,29807248
4,602,1K,13591599,29807248
5,639,1K,13591687,29807220
6,608,1K,13600291,29807372
7,602,1K,13600949,29818824
8,597,1K,13600957,29818824
9,702,2K,13600965,29818824
10,678,2K,13601479,29818804
11,659,2K,13601487,29818804
12,632,2K,13601499,29818804
13,625,2K,13601507,29818804
14,611,2K,13601515,29818804
15,591,2K,13601523,29818804
16,549,2K,13601531,29818804
17,531,3K,13601539,29818804
18,513,3K,13601547,29818804
19,484,3K,13601555,29818804
20,532,3K,13601563,29818804
21,531,3K,13601571,29818804
22,529,3K,13601579,29818804
23,522,2K,13601587,29818804
24,512,2K,13602631,29818864
25,503,4K,13602639,29818864
26,500,4K,13602647,29818864
27,498,3K,13602655,29818864
28,489,3K,13604795,29819628
29,457,3K,13604803,29819628
30,445,3K,13604811,29819628
31,436,3K,13604819,29819628
32,416,3K,13604891,29819628
33,402,2K,13604899,29819628
34,401,4K,13604954,29819628
35,391,4K,13604962,29819628
36,385,3K,13605018,29819648
37,410,3K,13605026,29819648
38,455,3K,13605034,29819648
39,463,3K,13605042,29819648
40,462,3K,13605050,29819648
41,440,3K,13605058,29819648
42,428,3K,13605074,29819648
43,416,4K,13605082,29819648
44,403,4K,13605090,29819648
45,390,4K,13605098,29819648
46,368,5K,13605106,29819648
47,367,5K,13605114,29819648
48,355,5K,13605136,29761800
49,344,5K,13605548,29696004
50,336,4K,13605556,29696004
51,341,4K,13605564,29696004
52,363,6K,13605572,29696004
53,382,5K,13605600,29564376
54,455,5K,13680216,29565412
55,452,5K,13680224,29565412
56,426,7K,13680232,29565412
57,417,6K,13738920,29565412
58,404,6K,13824640,29565412
59,391,6K,13824853,29565412
60,378,6K,13824869,29302476
61,355,6K,13824885,29302476
62,344,6K,13824897,29302476
63,331,5K,13824909,29302476
64,321,5K,13824921,29302476
65,311,5K,13824929,29302476
66,314,5K,13905721,29303544
67,327,5K,13905733,29303544
68,354,4K,13905745,29303544
69,373,4K,13905757,29303544
70,389,4K,14060365,29303544
71,384,4K,14060381,29303544
72,379,5K,14060393,29303544
73,367,4K,14060405,29303544
74,355,4K,14060417,28777140
75,344,4K,14060429,28777140
76,336,4K,14060445,28777140
77,325,4K,14060457,28777140
78,315,3K,14138669,28779256
79,311,3K,14138681,28779256
80,302,3K,14138693,28779256
81,297,3K,14281941,28779256
82,285,4K,14281957,28779256
83,292,3K,14281969,28779256
84,300,3K,14281981,28779256
85,306,3K,14281993,28779256
86,319,3K,14282005,28779256
87,317,3K,14282175,28779256
88,322,3K,14360463,28779256
89,319,3K,14360475,28779256
90,315,3K,14360487,28779256
91,362,3K,14360499,28779256
92,358,2K,14360515,28779256
93,355,3K,14513111,28779256
94,344,3K,14513123,28779256
95,333,3K,14513135,28779256
96,323,3K,14513147,28779256
97,315,3K,14513159,28779256
98,306,2K,14513175,28779256
99,357,2K,14518711,28779256
100,365,2K,14518723,28779256
101,365,2K,14597635,27726468
102,365,2K,14597647,27726468
103,366,3K,14597655,27726468
104,365,3K,14738975,27730680
105,364,2K,14744471,27730680
106,360,2K,14744483,27730680
107,361,2K,14744495,27730680
108,347,4K,14745415,27730680
109,340,4K,14745427,27730680
110,377,4K,14745451,27730652
111,448,4K,14908059,27730652
112,441,4K,14915099,27730652
113,491,4K,14924051,27730632
114,490,4K,14924184,27730596
115,488,4K,14924196,27730632
116,478,3K,14924204,27730632
117,447,5K,15003180,27730632
118,442,5K,15003188,27730632
119,435,5K,15081856,27730652
120,437,5K,15081864,27730652
121,430,5K,15081872,27730652
122,422,5K,15081880,27730652
123,453,4K,15222604,27730652
124,450,4K,15222612,27730652
125,449,4K,15222620,27730652
126,448,4K,15222628,27730652
127,451,4K,15222640,27730652
128,444,6K,15222648,27730652
129,430,5K,15301788,27730652
130,418,5K,15301796,27730652
131,411,5K,15301808,27730652
132,400,5K,15439412,27730652
133,395,4K,15439420,27730652
134,390,4K,15439432,27730652
135,383,4K,15439440,27730652
136,369,4K,15439568,27730652
137,357,6K,15439580,27730652
138,366,6K,15518400,27730652
139,371,5K,15518412,27730652
140,395,5K,15518424,27730652
141,397,5K,15518432,27730652
142,402,5K,15662896,27730652
143,427,4K,15662904,27730628
144,417,4K,15662928,27730648
145,404,4K,15662936,25625092
146,393,6K,15662948,25625092
147,388,6K,15662956,25625092
148,388,6K,15662964,25625092
149,383,5K,15742124,25633496
150,378,5K,15742136,25633496
151,376,5K,15742144,25633496
152,378,5K,15827396,25633496
153,374,4K,15894544,25633496
154,372,4K,15894556,25633496
155,371,4K,15894564,25633496
156,376,6K,15894576,25633496
157,355,6K,15894592,25633496
158,406,6K,15894620,25633468
159,393,5K,15973296,25633468
160,378,5K,15973308,25633468
161,366,7K,15977596,25633468
162,357,7K,15977700,25633468
163,353,7K,16131581,25633468
164,357,6K,16131593,25633468
165,365,6K,16131605,25633468
166,369,8K,16131617,25633468
167,372,8K,16131633,25633468
168,368,8K,16131645,25633468
169,369,7K,16131657,25633468
170,368,7K,16131669,25633468
171,373,7K,16210193,25633468
172,361,9K,16210205,25633468
173,350,8K,16210221,25633468
174,342,8K,16210233,25633468
175,331,8K,16361357,25633468
176,321,7K,16361369,25633468
177,304,9K,16361381,25633468
178,299,8K,16361397,25633468
179,295,8K,16361409,25633468
180,286,8K,16361440,25633468
181,285,8K,16361452,25633468
182,284,7K,16439792,25633468
183,298,7K,16439808,25633468
184,319,7K,16439820,25633468
185,327,6K,16439832,25633468
186,324,6K,16439844,25633468
187,322,8K,16584684,25633468
188,313,8K,16584696,25633468
189,308,7K,16584704,25633468
190,305,7K,16584871,25633468
191,293,6K,16584879,25633468
192,291,6K,16584887,25633468
193,282,6K,16584899,25633468
194,279,6K,16663591,25633468
195,271,5K,16663599,25633468
196,260,7K,16663607,25633468
197,259,7K,16798623,25633468
198,266,6K,16798631,25633468
199,310,6K,16798639,25633468
200,331,6K,16798647,25633448
201,321,5K,16799115,25633448
202,301,5K,16799123,25633448
203,292,5K,16877971,25633448
204,286,6K,16877979,25633448
205,274,6K,16877991,25633448
206,266,6K,17010467,25633468
207,258,6K,17010475,25633468
208,247,5K,17010483,25633468
209,246,5K,17010495,25633468
210,243,5K,17010503,25633468
211,343,5K,17010527,25633440
212,422,4K,17089975,25633440
213,431,6K,17090056,25633420
214,432,6K,17216096,25633384
215,418,6K,17216104,25633384
216,405,5K,17216112,25633384
217,380,5K,17216124,25633384
218,370,7K,17216132,25633420
219,362,7K,17216140,25633420
220,350,6K,17295044,25633440
221,339,8K,17295056,25633440
222,328,8K,17295064,25633440
223,382,7K,17417180,25633440
224,385,7K,17444260,25633440
225,393,7K,17444272,25633440
226,412,9K,17444280,25633440
227,413,8K,17444288,25633440
228,410,8K,17444296,25633440
229,409,8K,17444308,25633440
230,398,9K,17523204,25633440
231,377,9K,17523212,25633440
232,370,8K,17523224,25633440
233,365,8K,17663584,25633440
234,358,8K,17663596,25633440
235,349,7K,17663604,25633440
236,342,7K,17663616,25633440
237,342,6K,17663874,25633440
238,350,6K,17663886,25633440
239,354,8K,17742602,25633440
240,365,7K,17742614,25633440
241,384,7K,17742626,21422344
242,381,7K,17742634,21422344
243,387,6K,17882842,21439136
244,391,6K,17882862,21439136
245,378,6K,17882870,21439136
246,3K,6K,17882960,21439028
247,3K,6K,17882980,21439028
248,3K,7K,17883008,21439008
249,3K,7K,17961844,21439008
250,3K,7K,17961864,21439064
251,2K,6K,17961876,21439064
252,2K,6K,17961884,21439064
253,2K,6K,18096368,21439084
254,2K,6K,18110852,21439084
255,2K,5K,18110864,21439084
256,2K,5K,18110876,21439084
257,2K,5K,18110884,21439084
258,2K,7K,18110900,21439084
259,2K,6K,18110912,21439084
260,2K,6K,18189496,21439084
261,2K,6K,18189508,21439084
262,2K,6K,18189586,21439032
263,2K,6K,18302286,21439092
264,2K,5K,18302602,21439092
265,1K,5K,18302630,21439092
266,1K,5K,18302642,21439092
267,1K,5K,18302654,21439092
268,1K,5K,18302670,21439092
269,1K,6K,18302682,21439092
270,1K,6K,18302694,21439092
271,1K,6K,18380914,21439092
272,1K,6K,18380926,21439092
273,1K,5K,18380934,21439092
274,1K,5K,18380950,21439092
275,1K,5K,18517370,21439092
276,1K,5K,18517382,21439092
277,1K,7K,18517394,21439092
278,1K,6K,18517402,21439092
279,1K,8K,18517410,21439092
280,1K,8K,18517426,21439092
281,1K,8K,18517434,21439092
282,1K,7K,18596494,21439092
283,1K,7K,18596502,21437016
284,1K,6K,18596514,21437016
285,1K,6K,18738666,21437016
286,1K,8K,18738682,21437012
287,974,8K,18738694,21437012
288,914,9K,18738702,21437012
289,890,9K,18738710,21437012
290,861,9K,18738722,21437012
291,833,8K,18738826,21437012
292,804,8K,18817670,21437040
293,794,7K,18817678,21437040
294,768,7K,18817686,21437040
295,759,7K,18817702,21437040
296,742,6K,18966230,21437040
297,711,8K,18966238,21437040
298,728,8K,18966246,21437040
299,720,7K,18966254,21437040
300,692,7K,18966266,21437040
301,675,6K,19045218,21437040
302,654,6K,19045226,21437040
303,614,6K,19045238,21437040
304,596,5K,19175082,21437040
305,578,5K,19175090,21437040
306,557,6K,19175098,21437040
307,555,6K,19175110,21437040
308,556,6K,19175118,21437040
309,546,5K,19253774,21437040
310,545,5K,19253782,21437040
311,536,5K,19253794,21437040
312,611,4K,19335722,21437040
313,593,4K,19371594,21436992
314,628,5K,19371669,21436992
315,595,5K,19371698,21436956
316,577,5K,19371706,21436956
317,560,5K,19451058,21436976
318,531,4K,19451066,21436976
319,515,4K,19451078,21436976
320,503,4K,19451086,21437012
321,496,4K,19562586,21437012
322,511,5K,19562594,21437012
323,577,5K,19562606,21437012
324,575,5K,19562614,21437012
325,554,4K,19562626,21437012
326,538,4K,19641466,21437012
327,522,4K,19641474,21437012
328,507,4K,19641482,21437012
329,492,4K,19666870,21437012
330,474,5K,19791690,21437012
331,465,7K,19791702,21437012
332,471,6K,19791710,21437012
333,520,6K,19791722,21437012
334,584,6K,19791730,21437012
335,605,5K,19870570,21437012
336,614,5K,19870578,21438020
337,658,5K,19870590,21438020
338,690,5K,19870606,21438020
339,719,7K,20008104,21438020
340,716,6K,20008116,21438020
341,763,8K,20008128,21438020
342,769,7K,20008140,21438020
343,747,7K,20008148,21438020
344,723,7K,20008164,21438020
345,700,6K,20087088,21438020
346,675,6K,20087108,21438020
347,668,6K,20087128,21438020
348,693,6K,20087148,21438020
349,671,5K,20231488,21438016
350,650,5K,20231500,21438016
351,641,6K,20231512,21438016
352,636,6K,20231524,21438016
353,632,6K,20231536,21438016
354,635,6K,20231552,21438016
355,642,5K,20231564,21438016
356,637,5K,20231576,21438016
357,617,5K,20310248,21438016
358,599,5K,20310260,21438016
359,586,4K,20310272,21438016
360,568,4K,20310288,21438016
361,571,4K,20448700,21438016
362,567,6K,20448712,21438016
363,557,5K,20448724,21438016
364,541,5K,20448736,21438016
365,531,5K,20448752,21438016
366,512,5K,20448764,21438016
367,560,4K,20448784,21437988
368,551,4K,20527587,21437952
369,542,4K,20527599,21437988
370,534,4K,20527611,21437988
371,533,4K,20605451,21437988
372,525,5K,20605463,21437988
373,525,5K,20605475,21437988
374,529,5K,20605487,21437988
375,514,5K,20750955,21437988
376,517,4K,20750971,21437988
377,502,4K,20750979,21437988
378,488,4K,20750991,21437988
379,476,4K,20750999,21437988
380,453,3K,20751011,21437988
381,440,3K,20751019,21437988
382,430,5K,20829871,21437988
383,429,5K,20829883,21437988
384,433,4K,20829895,21437988
385,424,4K,20843307,21437988
386,433,4K,20981243,21437988
387,421,4K,20981255,21437988
388,417,3K,20981263,21437988
389,420,3K,20981275,21437988
390,434,5K,20981283,21437988
391,422,7K,21060347,21437988
392,398,6K,21060355,21437988
393,409,6K,21060497,21437988
394,402,6K,21179401,21437988
395,392,5K,21179409,21437988
396,390,5K,21179417,21437988
397,395,5K,21179425,21437988
398,403,5K,21179437,21437988
399,400,4K,21258265,21437988
400,390,6K,21258273,21437988
401,377,5K,21258281,21437988
402,375,5K,21290293,21437988
403,383,5K,21389753,21437988
404,386,4K,21389761,21437988
405,384,4K,21389769,21437988
406,374,4K,21389781,21437988
407,363,4K,21389789,21437988
408,353,5K,21468397,21437988
409,352,5K,21468409,21437988
410,371,4K,21468417,21437988
411,392,4K,21468425,21437988
412,381,4K,21595261,21437988
413,954,4K,21608845,21437988
414,929,4K,21608857,21437988
415,899,3K,21608865,21437988
416,866,4K,21608956,21437960
417,896,4K,21616154,21437924
